"","10 min","30 min","60 min","10 min","30 min","60 min","10 min","30 min","60 min"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",-7.59897138574962,-9.62579796682617,-9.38780764803379,-10.4364868678046,-10.2264825055549,-8.69242981426287,-9.34382722976522,-9.60693090088212,-10.4607577367281
"C",-1.45494107280515,-3.28116012190147,-2.48905260176101,-2.71043493027001,-3.41143502018777,-3.41598157563989,-4.29311372472564,-3.13772952654642,-4.54308290629668
"D",-1.81966617994805,-2.953504544334,-1.31139412471524,-3.10983576618577,-4.18848683750304,-3.19722534609825,-4.50420130817183,-4.42794408547974,-4.56461295464994
"E",-7.48547086283384,-11.047196796931,-10.3899699693938,-5.00862699905963,-9.50368629032883,-9.75860638754065,-4.39255922148717,-5.90203783845929,-7.10392332311907
"F",-23.0250825206657,-18.9273762219521,-15.105495246243,-20.771291572284,-16.3535927436685,-12.8701969737804,-23.9460243670045,-19.2158102214664,-15.4555767463642
"G",-22.6151336963093,-18.7507333322221,-14.9082755005015,-22.0055509756793,-16.30025963754,-13.0232234445118,-23.5729608523912,-19.0790281651641,-15.4695171143189
"H",-23.0644991633842,-18.7133352132741,-14.9859499809361,-20.0959045569377,-16.8348279678696,-13.2796981471665,-23.9186144667335,-18.3015487954817,-14.8552308947083
"I",-23.1086659886266,-18.6847830884552,-14.9993414243573,-20.0490869142957,-16.8066548617574,-13.2639071157022,-23.8434975344933,-18.2906802805776,-14.8513805179938
"J",-23.8947923310239,-18.7888639763331,-15.3871765421964,-20.0774247410075,-16.9475097808606,-13.5081083712464,-23.5004698099163,-17.839510042769,-14.4503028169574
"K",-3.92177351116134,-14.0142502932705,-13.0051718804765,-6.62385650185371,-14.6127054822717,-12.3070765963555,-4.81831707751806,-14.0028583066605,-12.7710663234107
"L",-10.6432245416049,-14.5295189363158,-13.7297327711104,-15.8460293601668,-15.0576939617264,-12.7142400729789,-12.680714019832,-14.9751149773567,-13.1812525109467
"M",-10.2367329383998,-14.6553373462802,-13.4079126348051,-11.4685364754531,-15.2210875688071,-13.4049532626362,-9.68759302239084,-14.2124119895088,-13.5449410542312
"N",-4.38171009406876,-13.5319964533844,-12.3507826668578,-5.90630265266378,-15.1391799995715,-12.7113081236685,-4.63704234816033,-13.8003658827217,-12.8026000438613
"O",-5.51954375069122,-13.7020028978282,-13.0258193322143,-6.6397489270656,-15.1855228767896,-12.8635545958368,-4.97566413231872,-13.6067867613178,-12.8214926948116
"P",-24.2718343392058,-20.5630000652193,-16.957649688592,-21.2141441594522,-16.4735511407547,-14.9101532856035,-22.8231755554766,-18.1420200775565,-14.4194191798091
"Q",-23.7379381592244,-20.603740783444,-16.4522537925013,-22.5333679060317,-16.3156143245176,-14.034476422221,-22.7541779154154,-18.2508428562151,-14.8181398393369
"R",-24.2097602532322,-19.6388201149741,-15.8494295637784,-20.2061246511453,-16.4351219198009,-13.3221468559688,-23.0342446076154,-17.5269371922443,-14.2512093571912
"S",-24.2809135609539,-19.6369395718034,-15.8502077076826,-20.222159179395,-16.3935322106411,-13.3006888873743,-23.0365059017732,-17.5463127841453,-14.2580383650204
"T",-24.3034872767903,-19.6644461420008,-15.8883831411046,-20.001408149629,-16.1430255577109,-13.352907918717,-22.8768008889288,-17.3864034601694,-14.2292521405726
