"dataset","fh","criteria","vmd_ssa_stack","vmd_ssa_knn","vmd_ssa_pls","vmd_ssa_ridge","vmd_ssa_svr","vmd_stack","vmd_knn","vmd_pls","vmd_ridge","vmd_svr","ssa_stack","ssa_knn","ssa_pls","ssa_ridge","ssa_svr","stack","knn","pls","ridge","svr"
"March","1-step","MAE",0.1965,0.221,0.2001,0.2014,0.2254,0.3498,0.3566,0.3516,0.3516,0.3669,0.2247,0.2771,0.2767,0.2289,0.2384,0.3799,0.391,0.377,0.3773,0.3781
"March","1-step","MAPE",0.0287,0.0323,0.0291,0.0293,0.0329,0.0508,0.0519,0.0511,0.0511,0.0544,0.0329,0.0405,0.0404,0.0336,0.0355,0.0559,0.0575,0.0557,0.0558,0.056
"March","1-step","RMSE",0.2599,0.2884,0.2614,0.2633,0.2878,0.4576,0.4631,0.4584,0.4582,0.4739,0.2978,0.3604,0.3598,0.3047,0.3171,0.4939,0.5045,0.4922,0.4921,0.4936
"March","3-step","MAE",0.1992,0.2384,0.2058,0.2054,0.2493,0.4176,0.4228,0.4099,0.4096,0.4297,0.3719,0.394,0.3838,0.3651,0.3797,0.4693,0.4731,0.457,0.4567,0.4602
"March","3-step","MAPE",0.029,0.0348,0.03,0.03,0.0363,0.0605,0.0615,0.0594,0.0594,0.0636,0.0541,0.0576,0.0559,0.0534,0.0563,0.0696,0.0701,0.0679,0.0678,0.0685
"March","3-step","RMSE",0.2618,0.3073,0.2695,0.2691,0.3176,0.5411,0.5464,0.5302,0.5301,0.5545,0.4934,0.522,0.5001,0.4853,0.5059,0.6007,0.6045,0.5912,0.5911,0.596
"March","6-step","MAE",0.2267,0.2844,0.2338,0.2299,0.3274,0.4366,0.4552,0.4312,0.4311,0.467,0.4085,0.4383,0.4184,0.4072,0.4314,0.5417,0.5507,0.5145,0.5141,0.5175
"March","6-step","MAPE",0.0329,0.0417,0.0341,0.0335,0.0479,0.0629,0.0661,0.0624,0.0624,0.0693,0.0592,0.0637,0.0607,0.059,0.0636,0.0805,0.0826,0.077,0.0769,0.0776
"March","6-step","RMSE",0.2946,0.3724,0.3043,0.2999,0.4226,0.5666,0.59,0.557,0.5568,0.5974,0.5367,0.5792,0.5402,0.5357,0.5657,0.6969,0.707,0.6636,0.6633,0.6688
"April","1-step","MAE",0.2216,0.2753,0.23,0.2322,0.241,0.4112,0.4488,0.4056,0.4053,0.4102,0.2759,0.3787,0.3284,0.2725,0.2797,0.4356,0.4665,0.4304,0.4302,0.4282
