"model","FH","MAE","MAPE","RMSE"
"VMD-SSA-STACK","Six-steps",0.395005543428114,0.0777121770441016,0.555449371763585
"lasso","Six-steps",0.39701020049468,0.0775061417801689,0.5546835112437
"lm","Six-steps",0.396222319462765,0.0773969188952313,0.55460031635477
"mlp","Six-steps",0.435460167199126,0.0821844219827804,0.59222182493513
"VMD-SSA-STACK","Twelve-steps",0.642132473295837,0.124231601658915,0.871792380972667
"lasso","Twelve-steps",0.599523441763947,0.114773790451548,0.819880644791783
"lm","Twelve-steps",0.599275935265176,0.11487411706128,0.818815015122032
"mlp","Twelve-steps",0.799184374377149,0.13540337139346,1.0959724053075
"VMD-SSA-STACK","Twenty-four-steps",0.709530590721519,0.13740900450378,0.943892197325736
"lasso","Twenty-four-steps",0.625071429029364,0.118329275861016,0.838343945166594
"lm","Twenty-four-steps",0.624546222224624,0.118322078011193,0.837847285567169
"mlp","Twenty-four-steps",0.994578512603318,0.158524056957266,1.30112226140936
