"model","FH","MAE","MAPE","RMSE"
"VMD-STACK","1-steps",0.466166036753427,0.0665789308496383,0.596279807650115
"knn","1-steps",0.487176461306267,0.0690741360503612,0.625026657816321
"pls","1-steps",0.44458830266872,0.0635742423119262,0.569433644070125
"ridge","1-steps",0.44431676732611,0.0635280927748035,0.569039649244003
"svmLinear2","1-steps",0.445330577917067,0.0636608800869525,0.57164215802905
"VMD-STACK","3-steps",0.562388564717202,0.0800120814989587,0.722912539485299
"knn","3-steps",0.578221028985194,0.0818166516952062,0.742745586801366
"pls","3-steps",0.526744653491148,0.0752306358386856,0.691459912602889
"ridge","3-steps",0.526694352004391,0.0752199531553409,0.691486663143608
"svmLinear2","3-steps",0.527716012191829,0.075448978064734,0.69795304548225
"VMD-STACK","6-steps",0.618826740649011,0.0884085433670603,0.802799014222469
"knn","6-steps",0.646382220696199,0.0910849048779282,0.836154212544788
"pls","6-steps",0.604270501207963,0.0859351917481743,0.788003315684297
"ridge","6-steps",0.60406514891023,0.085898441337003,0.787859812185576
"svmLinear2","6-steps",0.614620787664384,0.0874685107066592,0.807675450751211
