"model","FH","MAE","MAPE","RMSE"
"VMD_SSA-STACK","3-steps",0.253057862272243,0.0363910276318234,0.323629205015701
"knn","3-steps",0.32228248912886,0.0459485703109817,0.427020920571156
"pls","3-steps",0.263954832538659,0.0376366812320541,0.340095245526839
"ridge","3-steps",0.266962881502614,0.0380701834557211,0.343356385696868
"svmLinear2","3-steps",0.279475220274636,0.0399140673026398,0.359475815668382
"VMD_SSA-STACK","6-steps",0.280961474322079,0.0404187799244964,0.363405518884564
"knn","6-steps",0.407457522356095,0.057697145365776,0.540315488185293
"pls","6-steps",0.300554915204074,0.0428324618596173,0.392134132339749
"ridge","6-steps",0.297188262693751,0.042381357827356,0.385316584268045
"svmLinear2","6-steps",0.344276193636273,0.0487428465543136,0.45358553943642
"VMD_SSA-STACK","12-steps",0.437885201819208,0.0618431628358394,0.607257190062842
"knn","12-steps",0.603465795092038,0.0842260104359826,0.83798101511149
"pls","12-steps",0.460519774189748,0.064375346518242,0.638616392688822
"ridge","12-steps",0.44921136324784,0.0629430682644462,0.619539474900096
"svmLinear2","12-steps",0.54276736263005,0.0751311243795761,0.771428918162117
