"model","FH","MAE","MAPE","RMSE"
"STACK","3-steps",0.590272799683767,0.0831370371624216,0.790782164730917
"knn","3-steps",0.596396588282749,0.0834996325414716,0.79786492838102
"pls","3-steps",0.572029257750493,0.0811141333337638,0.767453207307529
"ridge","3-steps",0.572162216008393,0.0811259100989067,0.767350884595889
"svmLinear2","3-steps",0.568636463327906,0.0811552175348352,0.764844735477357
"STACK","6-steps",0.718925379261996,0.100375776418751,0.963174169821433
"knn","6-steps",0.740806655728531,0.102369065879818,0.990764348660007
"pls","6-steps",0.701913470338652,0.098375010738183,0.937090587791984
"ridge","6-steps",0.701744414394097,0.098335118469483,0.936759308364309
"svmLinear2","6-steps",0.698882229871153,0.0987361682744879,0.9343762048325
"STACK","12-steps",0.768828772921076,0.105115372935915,1.03374553599278
"knn","12-steps",0.815673036041339,0.110297794713456,1.08366496926702
"pls","12-steps",0.757073111730342,0.103963562738023,1.0172912389051
"ridge","12-steps",0.756612105582222,0.103900448037002,1.01664505004336
"svmLinear2","12-steps",0.757185060745233,0.105208276318954,1.01190027121406
