"","mae","mape","rmse","rrmse","sse","std"
"ANN_April_1",0.433238146465922,0.0822885215021345,0.611188724666812,0.102277008858854,376.540070417123,0.611487386633209
"ANN_April_3",0.667414765556653,0.121707549644117,0.917494510956656,0.15073085789562,848.530547056678,0.910891652196699
"ANN_April_6",0.820296392790855,0.150274903173894,1.12861667861115,0.189315426567772,1283.96581209717,1.12911473215854
"ANN_March_1",0.382941890141321,0.0571337499385642,0.497064185482867,0.0724469730411247,249.049386925664,0.486535441678651
"ANN_March_3",0.507481346811567,0.0753380908855053,0.644185030698568,0.0942834629048936,418.294148606324,0.630921042115916
"ANN_March_6",0.596195390394756,0.0843727725236046,0.76471806015671,0.107792627226828,589.47206122208,0.753899665273589
"ANN_May_1",0.470805610550774,0.0676329197776368,0.607267390050933,0.0824790577103933,371.723872483426,0.605872296398408
"ANN_May_3",0.680909864060462,0.094880831280356,0.892245141222788,0.11884933845089,802.470203171958,0.887139350424527
"ANN_May_6",0.833692623036248,0.113121622920782,1.08109398794117,0.143047581286662,1178.11432444864,1.07123209915574
"ESN_April_1",0.437945036199831,0.0912301404169026,0.619413631582837,0.104622889085723,386.742632966564,0.61745077149867
"ESN_April_3",0.703294289833497,0.128789601957336,0.95998089115345,0.154104777649358,928.935817870809,0.925679175737017
"ESN_April_6",0.824422374580588,0.153183118401214,1.13797547195096,0.187865958381705,1305.3480801601,1.13543677762662
"ESN_March_1",0.389333524779668,0.0574085438074199,0.499182281620735,0.072821947398103,251.176413886355,0.487343528388342
"ESN_March_3",0.500705420308643,0.0735830980289702,0.632461955939869,0.0923252396009823,403.208190716976,0.62248150707484
"ESN_March_6",0.571805723981252,0.0836276520787434,0.732053099197259,0.10618015791769,540.188953964666,0.729104013487241
"ESN_May_1",0.47849930855963,0.0697902815454385,0.623576474550382,0.0835826914372113,391.958400569585,0.621666078150392
"ESN_May_3",0.69183698306008,0.0979136372019385,0.903246875348576,0.120901998729336,822.381757169582,0.90150381036484
"ESN_May_6",0.847746727627421,0.116083846584978,1.09082420301751,0.144302157639747,1199.41662142389,1.08082078413171
"LSTM_April_1",0.431606973613065,0.0827751520700772,0.609993443751495,0.10129300351876,375.068737431167,0.60835165191726
"LSTM_April_3",0.654580134697377,0.122787509185092,0.909946036743898,0.150748861722726,834.625804104215,0.908229823568159
"LSTM_April_6",0.833349899238064,0.151785432570967,1.15298429791908,0.188491861114909,1340.00777357795,1.14458999665564
"LSTM_March_1",0.38341089685758,0.0571599662519096,0.497716736803918,0.0725168440485791,249.703725695499,0.487701536756593
"LSTM_March_3",0.48979770522269,0.0706068609501557,0.62489925298996,0.0892474953962519,393.62306899851,0.624059683550422
"LSTM_March_6",0.583841967298871,0.0828113613922355,0.742616762790536,0.104534164070595,555.891493628516,0.72964939922231
"LSTM_May_1",0.480358564380615,0.0675332718076893,0.619954649825163,0.0821440888779452,387.41851798256,0.604442239928492
"LSTM_May_3",0.67887049596461,0.0961377733689,0.888543848583585,0.120008493827631,795.826252222575,0.888975789487481
"LSTM_May_6",0.862865018560773,0.113802366141648,1.11998662657372,0.145102013581872,1264.40500405361,1.07659658497513
"LSTM_VMD_SSA_April_1",0.241030535171093,0.0466004675308599,0.335552498925375,0.0554875690225175,113.496243371344,0.327468792717319
"LSTM_VMD_SSA_April_3",0.258742492717768,0.049105465083319,0.355498552027485,0.0601263965268418,127.390254257588,0.350418577187888
"LSTM_VMD_SSA_April_6",0.401641807587452,0.0760458750066504,0.551269145928792,0.0912291151640812,306.328852623084,0.547170469096941
"LSTM_VMD_SSA_March_1",0.256233515325123,0.0378858531561662,0.319723110418261,0.0471563135536542,103.040650274212,0.261658080523156
"LSTM_VMD_SSA_March_3",0.223705371265625,0.0327824921635767,0.286882706240057,0.0416731317742396,82.9601006367359,0.275676724856244
"LSTM_VMD_SSA_March_6",0.301561281570171,0.0442130237023995,0.387467654624981,0.0561318683946987,151.332232847628,0.38279742034745
"LSTM_VMD_SSA_May_1",0.273697178222522,0.0389500747055582,0.357065583743622,0.0477076772762175,128.515797742927,0.348966979239705
"LSTM_VMD_SSA_May_3",0.271509411528158,0.0386546212756315,0.351665520149352,0.0475198297422327,124.65798716641,0.351757035008251
"LSTM_VMD_SSA_May_6",0.415753938355446,0.0584681627494797,0.542148122708119,0.072389375364279,296.275983651585,0.5362841506665
