"model","FH","MAE","MAPE","RMSE"
"SSA-STACK","3-steps",0.476273202139234,0.0684799356808548,0.640700501590305
"knn","3-steps",0.502249214541072,0.0719417130083745,0.667574008745419
"pls","3-steps",0.473131210772274,0.0680006055398116,0.635296721313783
"ridge","3-steps",0.473576736238502,0.0680462681081499,0.649067063870691
"svmLinear2","3-steps",0.472974077712283,0.0680934546866452,0.649663671971929
"SSA-STACK","6-steps",0.55466508099011,0.0798343104209392,0.740478416518947
"knn","6-steps",0.578694249952832,0.082549478883336,0.773904934732522
"pls","6-steps",0.563712239571889,0.0810539218924301,0.743344645528471
"ridge","6-steps",0.568886530532131,0.0812645325890629,0.762601192620373
"svmLinear2","6-steps",0.578756296885926,0.08276594149454,0.777961045147295
"SSA-STACK","12-steps",0.602323269512918,0.0870554669589933,0.780359731131397
"knn","12-steps",0.631717237694202,0.0893475436572638,0.823750920344209
"pls","12-steps",0.617509594974919,0.0880744937284892,0.791947936446959
"ridge","12-steps",0.612779821608806,0.0871256867793542,0.796607591519022
"svmLinear2","12-steps",0.641452264615481,0.0910220016072645,0.839949288363669
