"model","FH","MAE","MAPE","RMSE"
"VMD-STACK","3-steps",0.560362377431658,0.0797368341374603,0.722091783721701
"knn","3-steps",0.578221028985194,0.0818166516952062,0.742745586801366
"pls","3-steps",0.526744653491148,0.0752306358386856,0.691459912602889
"ridge","3-steps",0.526694352004391,0.0752199531553409,0.691486663143608
"svmLinear2","3-steps",0.527716012191829,0.075448978064734,0.69795304548225
"VMD-STACK","6-steps",0.618826740649011,0.0884085433670603,0.802799014222469
"knn","6-steps",0.646382220696199,0.0910849048779282,0.836154212544788
"pls","6-steps",0.604270501207963,0.0859351917481743,0.788003315684297
"ridge","6-steps",0.60406514891023,0.085898441337003,0.787859812185576
"svmLinear2","6-steps",0.614620787664384,0.0874685107066592,0.807675450751211
"VMD-STACK","12-steps",0.672301659224525,0.0964623757601943,0.860514013378408
"knn","12-steps",0.682466760152352,0.0953697318684003,0.877665459191838
"pls","12-steps",0.638571841435437,0.0904696767081579,0.820407744486366
"ridge","12-steps",0.63748473999734,0.0902972054160995,0.819424911369873
"svmLinear2","12-steps",0.655674266603124,0.0929087799249922,0.854098770813467
