"model","FH","MAE","MAPE","RMSE"
"VMD_SSA-STACK","3-steps",0.225338189493096,0.0437196361437104,0.317347939385574
"knn","3-steps",0.311392004918415,0.0594989989952009,0.43734098006071
"pls","3-steps",0.235998583115321,0.045320146382079,0.332029352304036
"ridge","3-steps",0.237781145083768,0.0457224589676674,0.334027070168752
"svmLinear2","3-steps",0.269348057265671,0.0518229560563632,0.366397181286966
"VMD_SSA-STACK","6-steps",0.267940140432782,0.052107286052527,0.377876381468117
"knn","6-steps",0.386357154767337,0.0729028642242422,0.55045914209007
"pls","6-steps",0.283307135966978,0.0544557870266494,0.398117687292903
"ridge","6-steps",0.280189778112216,0.0537548370262843,0.392756066261628
"svmLinear2","6-steps",0.363126408693245,0.068933049944097,0.495001480847521
"VMD_SSA-STACK","12-steps",0.42979560764063,0.0798440704510272,0.637795747380022
"knn","12-steps",0.533264909104714,0.0975577683870006,0.774359470887083
"pls","12-steps",0.420330797944027,0.0772569720920341,0.627385125185581
"ridge","12-steps",0.422561241417044,0.0777481019096801,0.630792289203318
"svmLinear2","12-steps",0.617734568441477,0.110604038766012,0.866213147062133
